"Spieler","Klasse","Spec","Items (Main-Spec)","Kopf","Hals","Schultern","Rücken","Brust","Armschienen","Hände","Gürtel","Beine","Stiefel","Ring 1","Ring 2","Trinket 1","Trinket 2","Mainhand","Offhand","Relikt/Wand","","Legende"
"Grotschak","Krieger","Fury","12","","","","","","","","","","","","","","","","","","","Contested"
"Kaosx","Paladin","Retribution","11","","","","","","","","","","","","","","","","","","","BIS Item"
"Moriamus","Krieger","Arms","10","","","","","","","","","","","","","","","","","","","Non-BIS Item"
"Valiror","Krieger","Fury","10","","","","","","","","","","","","","","","","","","","Kein Item"
"Chadíkus","Paladin","Protection","10","","","","","","","","","","","","","","","","","","",""
"Deters","Hexenmeister","Destruction","9","","","","","","","","","","","","","","","","","","",""
"Järgerlie","Jäger","Beast Mastery","9","","","","","","","","","","","","","","","","","","",""
"Kroenix","Jäger","Survival","9","","","","","","","","","","","","","","","","","","",""
"Shana","Paladin","Protection","9","","","","","","","","","","","","","","","","","","",""
"Shadowdragôn","Schamane","Restoration","9","","","","","","","","","","","","","","","","","","",""
"Chilini","Schamane","Enhancement","9","","","","","","","","","","","","","","","","","","",""
"Supfreshyo","Druide","Feral Tank","9","","","","","","","","","","","","","","","","","","",""
"Sandycheekz","Schurke","Combat","9","","","","","","","","","","","","","","","","","","",""
"Mìlla","Priester","Holy","9","","","","","","","","","","","","","","","","","","",""
"Discusting","Priester","Holy","9","","","","","","","","","","","","","","","","","","",""
"Sinrakss","Magier","Arcane","8","","","","","","","","","","","","","","","","","","",""
"Lupitus","Magier","Arcane","8","","","","","","","","","","","","","","","","","","",""
"Moonspell","Druide","Restoration","8","","","","","","","","","","","","","","","","","","",""
"Lariesel","Magier","Arcane","7","","","","","","","","","","","","","","","","","","",""
"Xalessa","Hexenmeister","Destruction","7","","","","","","","","","","","","","","","","","","",""
"Heinerm","Paladin","Holy","7","","","","","","","","","","","","","","","","","","",""
"Golschi","Paladin","Holy","7","","","","","","","","","","","","","","","","","","",""
"Lanity","Schamane","Enhancement","7","","","","","","","","","","","","","","","","","","",""
"Simondan","Hexenmeister","Destruction","6","","","","","","","","","","","","","","","","","","",""
"Exotica","Schamane","Elemental","6","","","","","","","","","","","","","","","","","","",""
"Empathic","Priester","Holy","6","","","","","","","","","","","","","","","","","","",""
"Exfreya","Druide","Balance","5","","","","","","","","","","","","","","","","","","",""
"Pflasterelfe","Priester","Shadow","4","","","","","","","","","","","","","","","","","","",""
